asset_path,shape,source_center_x,source_center_y,source_width,source_height,source_x,source_y,manifest,original_asset_path_from_index,copied_from,anomaly_asset_relative,exclusion_reason,exclusion_reason_ko
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\008_erase_the_circle_0726-164510.png,circle,618.5,484.0,125,116,538,408,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\008_erase_the_circle_0726-164510.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\anomaly\008_erase_the_circle_0726-164510.png,anomaly/circle/008_erase_the_circle_0726-164510.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\013_erase_the_circle_0727-110917.png,circle,419.0,69.5,156,139,323,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\013_erase_the_circle_0727-110917.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\013_erase_the_circle_0727-110917.png,anomaly/circle/013_erase_the_circle_0727-110917.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\010_erase_the_rectangle_0727-121732.png,rectangle,582.0,431.5,140,145,494,341,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\010_erase_the_rectangle_0727-121732.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\anomaly\010_erase_the_rectangle_0727-121732.png,anomaly/rectangle/010_erase_the_rectangle_0727-121732.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\014_erase_the_rectangle_0727-122516.png,rectangle,549.0,115.0,112,110,475,42,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\014_erase_the_rectangle_0727-122516.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\014_erase_the_rectangle_0727-122516.png,anomaly/rectangle/014_erase_the_rectangle_0727-122516.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\036_erase_the_circle_0802-133624.png,circle,323.5,486.5,127,89,242,424,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\036_erase_the_circle_0802-133624.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\036_erase_the_circle_0802-133624.png,anomaly/circle/036_erase_the_circle_0802-133624.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\032_erase_the_triangle_0802-142225.png,triangle,524.0,142.5,96,111,458,69,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\032_erase_the_triangle_0802-142225.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\032_erase_the_triangle_0802-142225.png,anomaly/triangle/032_erase_the_triangle_0802-142225.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\050_erase_the_rectangle_0811-200322.png,rectangle,568.0,450.0,90,92,505,386,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\rectangle\050_erase_the_rectangle_0811-200322.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\anomaly\050_erase_the_rectangle_0811-200322.png,anomaly/rectangle/050_erase_the_rectangle_0811-200322.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\079_erase_the_triangle_0811-205711.png,triangle,549.0,102.5,138,169,462,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\079_erase_the_triangle_0811-205711.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\triangle\079_erase_the_triangle_0811-205711.png,anomaly/triangle/079_erase_the_triangle_0811-205711.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\085_erase_the_circle_0812-132453.png,circle,594.0,448.0,134,130,509,365,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\085_erase_the_circle_0812-132453.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\anomaly\085_erase_the_circle_0812-132453.png,anomaly/circle/085_erase_the_circle_0812-132453.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\089_erase_the_circle_0812-133036.png,circle,585.5,445.5,119,121,508,367,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\asset_manifest.csv,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\circle\089_erase_the_circle_0812-133036.png,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\assets\anomaly\089_erase_the_circle_0812-133036.png,anomaly/circle/089_erase_the_circle_0812-133036.png,excluded_from_final_usable_assets,원본 315개 후보에는 있었지만 품질 검수/수동 확인 후 최종 사용 asset 297개에는 포함하지 않음
