asset_path,shape,source_center_x,source_center_y,source_width,source_height,source_x,source_y,manifest,final_source_kind
circle/001_erase_the_circle_0726-162803.png,circle,454,512,120,112,376,438,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/002_erase_the_circle_0726-163254.png,circle,444,485,118,108,367,413,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/003_erase_the_circle_0726-163611.png,circle,442,476.5,134,129,357,394,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/004_erase_the_circle_0726-163930.png,circle,446,499.5,148,135,354,414,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/009_erase_the_circle_0726-165719.png,circle,599.5,75.5,147,145,508,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/010_erase_the_circle_0726-165848.png,circle,582.5,137.5,107,105,511,67,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/011_erase_the_circle_0726-170001.png,circle,580.5,142.5,109,105,508,72,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/012_erase_the_circle_0726-170124.png,circle,585,136.5,110,99,512,69,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/014_erase_the_circle_0727-111036.png,circle,417.5,83.5,133,131,333,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/015_erase_the_circle_0727-111212.png,circle,414.5,77,137,128,328,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/016_erase_the_circle_0727-111340.png,circle,419,78.5,130,131,336,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/017_erase_the_circle_0727-111813.png,circle,386.5,520.5,107,105,315,450,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/018_erase_the_circle_0727-111943.png,circle,560,488,124,120,480,410,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/019_erase_the_circle_0727-112133.png,circle,577.5,87,117,106,501,16,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/020_erase_the_circle_0727-112529.png,circle,363,106.5,128,113,281,32,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/021_erase_the_circle_0802-130542.png,circle,436.5,461.5,127,117,355,385,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/022_erase_the_circle_0802-130825.png,circle,430.5,148.5,131,151,347,55,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/023_erase_the_circle_0802-130939.png,circle,538.5,444,101,102,470,375,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/024_erase_the_circle_0802-131058.png,circle,513.5,162,111,114,440,87,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/025_erase_the_circle_0802-131216.png,circle,310.5,444.5,109,107,238,373,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/026_erase_the_circle_0802-131420.png,circle,330.5,177.5,115,113,255,103,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/027_erase_the_circle_0802-132022.png,circle,450,509.5,158,157,353,413,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/028_erase_the_circle_0802-132211.png,circle,439.5,135.5,127,133,358,51,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/029_erase_the_circle_0802-132330.png,circle,528,501,126,132,447,417,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/030_erase_the_circle_0802-132443.png,circle,523,148.5,144,141,433,60,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/031_erase_the_circle_0802-132838.png,circle,326.5,78.5,131,121,243,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/032_erase_the_circle_0802-132954.png,circle,458,556,140,122,370,477,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/033_erase_the_circle_0802-133231.png,circle,420.5,79,153,144,326,0,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/034_erase_the_circle_0802-133354.png,circle,535,493,120,120,457,415,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/035_erase_the_circle_0802-133505.png,circle,509.5,95.5,125,129,429,13,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/037_erase_the_circle_0802-134056.png,circle,458.5,503.5,129,127,376,422,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/038_erase_the_circle_0802-134312.png,circle,562.5,500,129,128,480,418,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
circle/039_erase_the_circle_0802-134917.png,circle,528,111,130,130,445,28,C:\Users\user\vscode\1ugrp\lerobot_robot_piper_full_code_2026-07-13\records\whiteboard_augmenter\records_0727_0813_assets_work\final_assets\final_asset_manifest.csv,original_clean
