date,target,episode,target_side,placement_side,target_center_x,target_center_y,shape,asset,asset_reuse_round,input_video,seed
0727,circle,erase_the_circle_0726-162803,bottom,top,454.0,512.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\096_erase_the_rectangle_0813-184733.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-162803\videos\observation.images.top\chunk-000\file-000.mp4,395996161
0727,circle,erase_the_circle_0726-163254,bottom,top,444.0,485.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\011_erase_the_rectangle_0727-121900.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163254\videos\observation.images.top\chunk-000\file-000.mp4,1121283810
0727,circle,erase_the_circle_0726-163611,bottom,top,442.5,476.5,triangle,records_0727_0813_assets_work\final_assets\triangle\077_erase_the_triangle_0811-204916.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163611\videos\observation.images.top\chunk-000\file-000.mp4,2053629144
0727,circle,erase_the_circle_0726-163930,bottom,top,445.5,499.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\030_erase_the_rectangle_0804-181742.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163930\videos\observation.images.top\chunk-000\file-000.mp4,152444843
0727,circle,erase_the_circle_0726-164049,bottom,top,604.0,506.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\105_erase_the_rectangle_0813-214822.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164049\videos\observation.images.top\chunk-000\file-000.mp4,137948178
0727,circle,erase_the_circle_0726-164200,bottom,top,607.5,479.5,triangle,records_0727_0813_assets_work\final_assets\triangle\028_erase_the_triangle_0802-141044.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164200\videos\observation.images.top\chunk-000\file-000.mp4,1394726485
0727,circle,erase_the_circle_0726-164325,bottom,top,598.5,478.0,triangle,records_0727_0813_assets_work\final_assets\triangle\019_erase_the_triangle_0727-115901.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164325\videos\observation.images.top\chunk-000\file-000.mp4,2003094288
0727,circle,erase_the_circle_0726-164510,bottom,top,618.5,484.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\094_erase_the_rectangle_0813-184458.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164510\videos\observation.images.top\chunk-000\file-000.mp4,1705508406
0727,circle,erase_the_circle_0726-165719,top,bottom,599.5,90.0,triangle,records_0727_0813_assets_work\final_assets\triangle\030_erase_the_triangle_0802-142006.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-165719\videos\observation.images.top\chunk-000\file-000.mp4,1935919636
0727,circle,erase_the_circle_0726-165848,top,bottom,582.5,137.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\053_erase_the_rectangle_0811-200713.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-165848\videos\observation.images.top\chunk-000\file-000.mp4,771536031
0727,circle,erase_the_circle_0726-170001,top,bottom,580.5,143.0,triangle,records_0727_0813_assets_work\final_assets\triangle\034_erase_the_triangle_0802-142550.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-170001\videos\observation.images.top\chunk-000\file-000.mp4,1657473387
0727,circle,erase_the_circle_0726-170124,top,bottom,585.0,136.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\026_erase_the_rectangle_0804-181039.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-170124\videos\observation.images.top\chunk-000\file-000.mp4,362580152
0727,circle,erase_the_circle_0727-110917,top,bottom,419.0,86.0,triangle,records_0727_0813_assets_work\final_assets\triangle\069_erase_the_triangle_0811-203528.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-110917\videos\observation.images.top\chunk-000\file-000.mp4,229684098
