date,task_dir,episode,task,target_shape,inserted_shape,target_side,placement_side,target_center_x,target_center_y,insert_x,insert_y,scale,rotation_deg,brightness,blur_sigma,selection_mode,asset,original_input_video,output_video,metadata_json,debug_dir,seed,video_width,video_height,fps,frames,valid_placements,final_safe_area
0727,erase_circle,erase_the_circle_0726-162803,erase the circle,circle,rectangle,bottom,top,454.0,512.0,348,21,0.9165929470643841,2.2577907161287047,0.8908835779526721,0.019038850750215986,safe_fallback,assets/rectangle/093_erase_the_rectangle_0813-184309.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-162803\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-162803/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-162803/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-162803/debug,395996161,1280,720,30.0,563,717,62621
0727,erase_circle,erase_the_circle_0726-163254,erase the circle,circle,rectangle,bottom,top,444.0,485.0,486,21,0.9423046761735929,1.8463513317257974,0.8942778806333173,0.7186744624705753,safe_fallback,assets/rectangle/012_erase_the_rectangle_0727-122053.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163254\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-163254/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-163254/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-163254/debug,1121283810,1280,720,30.0,857,960,55728
0727,erase_circle,erase_the_circle_0726-163611,erase the circle,circle,triangle,bottom,top,442.5,476.5,500,16,0.9331531901949407,9.479247968975692,1.0327930719774165,0.05945012541755075,safe_fallback,assets/triangle/026_erase_the_triangle_0802-140827.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163611\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0726-163611/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0726-163611/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0726-163611/debug,2053629144,1280,720,30.0,772,233,61549
0727,erase_circle,erase_the_circle_0726-163930,erase the circle,circle,rectangle,bottom,top,445.5,499.5,344,21,0.8157115849280494,1.5188802052059724,0.9329854902248687,0.6406787396267939,safe_fallback,assets/rectangle/081_erase_the_rectangle_0812-140629.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-163930\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-163930/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-163930/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-163930/debug,1149188549,1280,720,30.0,527,1024,74078
0727,erase_circle,erase_the_circle_0726-164049,erase the circle,circle,rectangle,bottom,top,604.0,506.0,306,9,0.8255807518329882,7.677464629964579,1.0127085816776928,0.37232685199351256,safe_fallback,assets/rectangle/079_erase_the_rectangle_0812-140333.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164049\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-164049/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-164049/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-164049/debug,1197435393,1280,720,30.0,594,71,68677
0727,erase_circle,erase_the_circle_0726-164200,erase the circle,circle,triangle,bottom,top,607.5,479.5,622,18,0.9429034502397164,-4.874603500722654,0.9723178889899311,0.667143942619069,safe_fallback,assets/triangle/042_erase_the_triangle_0802-143926.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164200\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0726-164200/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0726-164200/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0726-164200/debug,1394726485,1280,720,30.0,687,58,56472
0727,erase_circle,erase_the_circle_0726-164325,erase the circle,circle,triangle,bottom,top,598.5,478.0,300,4,0.9939088992920173,-7.003830113183924,0.9978011457868717,0.43412110734895704,safe_fallback,assets/triangle/039_erase_the_triangle_0802-143602.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164325\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0726-164325/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0726-164325/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0726-164325/debug,2003094288,1280,720,30.0,768,57,62761
0727,erase_circle,erase_the_circle_0726-164510,erase the circle,circle,rectangle,bottom,top,618.5,484.5,545,12,0.9544793960959399,-4.020120861662184,1.0947108768439515,0.19975895650537379,safe_fallback,assets/rectangle/013_erase_the_rectangle_0727-122347.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-164510\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-164510/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-164510/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-164510/debug,1705508406,1280,720,30.0,793,358,63823
0727,erase_circle,erase_the_circle_0726-165719,erase the circle,circle,triangle,top,bottom,599.5,90.0,319,453,1.0,0.0,1.0,0.0,source_position,assets/triangle/001_erase_the_triangle_0727-113015.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-165719\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0726-165719/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0726-165719/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0726-165719/debug,1935919636,1280,720,30.0,733,37972,112345
0727,erase_circle,erase_the_circle_0726-165848,erase the circle,circle,rectangle,top,bottom,582.5,137.5,371,450,1.0,0.0,1.0,0.0,source_position,assets/rectangle/031_erase_the_rectangle_0804-181848.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-165848\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-165848/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-165848/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-165848/debug,771536031,1280,720,30.0,654,33857,117959
0727,erase_circle,erase_the_circle_0726-170001,erase the circle,circle,triangle,top,bottom,580.5,143.0,291,482,1.0,0.0,1.0,0.0,source_position,assets/triangle/069_erase_the_triangle_0811-203528.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-170001\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0726-170001/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0726-170001/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0726-170001/debug,1657473387,1280,720,30.0,640,23510,115578
0727,erase_circle,erase_the_circle_0726-170124,erase the circle,circle,rectangle,top,bottom,585.0,136.0,352,440,0.9368828836306738,1.881987419052912,1.01490380514561,0.6003122977380404,safe_fallback,assets/rectangle/083_erase_the_rectangle_0813-122336.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0726-170124\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-170124/augmented.mp4,0727/erase_circle/rectangle/erase_the_circle_0726-170124/placement_metadata.json,0727/erase_circle/rectangle/erase_the_circle_0726-170124/debug,362580152,1280,720,30.0,587,24069,110683
0727,erase_circle,erase_the_circle_0727-110917,erase the circle,circle,triangle,top,bottom,419.0,86.0,302,457,1.0,0.0,1.0,0.0,source_position,assets/triangle/005_erase_the_triangle_0727-113600.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-110917\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0727-110917/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0727-110917/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0727-110917/debug,229684098,1280,720,30.0,722,26320,114689
0727,erase_circle,erase_the_circle_0727-111036,erase the circle,circle,triangle,top,bottom,417.5,91.5,305,446,1.0,0.0,1.0,0.0,source_position,assets/triangle/002_erase_the_triangle_0727-113147.png,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111036\videos\observation.images.top\chunk-000\file-000.mp4,0727/erase_circle/triangle/erase_the_circle_0727-111036/augmented.mp4,0727/erase_circle/triangle/erase_the_circle_0727-111036/placement_metadata.json,0727/erase_circle/triangle/erase_the_circle_0727-111036/debug,538892287,1280,720,30.0,728,30413,116258
